ID  ,Compound                                                  ,Class   ,CAS       ,Mass ,CP-Wax,CW-20M,DB-1701,DB-Wax,DB1,HP1,OV-101,OV-1701,SE5,SP-Wax,SP-Wax10,SPB-1,Odour       ,almond,burnt,ID <Link>                                               
109 ,2-heptenal                                                ,        ,          ,112  ,1323  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=109
110 ,"2,5-dimethylthiazole"                                    ,        ,          ,113  ,1330  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=110
111 ,"2,5-dimethylpyrazine"                                    ,        ,          ,108  ,1331  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=111
112 ,1-octanethiol                                             ,        ,          ,146  ,1335  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=112
113 ,"2,6-dimethylpyrazine"                                    ,        ,          ,108  ,1336  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=113
114 ,2-propyl-5-methyl-4-ethyloxazole                          ,        ,          ,153  ,1337  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=114
115 ,ethylpyrazine                                             ,        ,          ,108  ,1339  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=115
116 ,2-ethyl-4-methylthiazole                                  ,        ,          ,127  ,1345  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=116
117 ,2-isopropyl-4-methylthiazole                              ,        ,          ,141  ,1350  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=117
118 ,1-hepten-3-ol                                             ,        ,          ,114  ,1352  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=118
119 ,"2,3-dimethylpyrazine"                                    ,        ,          ,108  ,1354  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=119
120 ,2-methyl-4-ethylthiazole                                  ,        ,          ,127  ,1357  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=120
121 ,"2,4-dimethylpyridine"                                    ,        ,          ,107  ,1358  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=121
122 ,2-methyl-5-(methylthio)furan                              ,        ,          ,128  ,1368  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=122
123 ,methyl octanoate                                          ,        ,          ,158  ,1375  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=123
124 ,"2,3-dimethylpyridine"                                    ,        ,          ,107  ,1377  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=124
125 ,"4,5-dimethylthiazole"                                    ,        ,          ,113  ,1378  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=125
126 ,2-propylpyridine                                          ,        ,          ,121  ,1380  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=126
127 ,nonanal                                                   ,        ,          ,142  ,1384  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=127
128 ,2-nonanone                                                ,        ,          ,142  ,1384  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=128
129 ,"2,4,5-trimethylthiazole"                                 ,        ,          ,127  ,1385  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=129
130 ,2-methylthiazolidine                                      ,        ,          ,103  ,1386  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=130
131 ,2-ethyl-6-methylpyrazine                                  ,        ,          ,122  ,1387  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=131
132 ,2-ethyl-5-methylpyrazine                                  ,        ,          ,122  ,1393  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=132
133 ,3-ethylpyridine                                           ,        ,          ,107  ,1397  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=133
134 ,1-octen-3-one                                             ,        ,          ,126  ,1399  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=134
135 ,"1,3-dichlorobenzene"                                     ,        ,          ,146  ,1399  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=135
136 ,2-isobutylthiazole                                        ,        ,          ,141  ,1400  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=136
137 ,"2-butyl-4,5-dimethyloxazole"                             ,        ,          ,153  ,1400  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=137
138 ,"2,4-hexadienal"                                          ,        ,          ,96   ,1403  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=138
139 ,2-ethyl-3-methylpyrazine                                  ,        ,          ,122  ,1407  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=139
140 ,"2,3,5-trimethylpyrazine"                                 ,        ,          ,122  ,1412  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=140
141 ,4-ethylpyridine                                           ,        ,          ,107  ,1413  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=141
142 ,4-mercapto-2-pentanone                                    ,        ,          ,118  ,1413  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=142
143 ,"4-ethyl-2,5-dimethylthiazole"                            ,        ,          ,141  ,1414  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=143
144 ,3-methylthiobutanal                                       ,        ,          ,118  ,1416  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=144
145 ,4-ethyl-5-methylthiazole                                  ,        ,          ,127  ,1416  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=145
146 ,4-methyl-3-propylthiazole                                 ,        ,          ,141  ,1417  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=146
147 ,3-methylthiopropionaldehyde                               ,        ,          ,104  ,1418  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=147
148 ,(2-furyl)methanethiol (furfurylmercaptane)                ,        ,          ,114  ,1421  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=148
149 ,2-octenal                                                 ,        ,          ,126  ,1426  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""",1     ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=149
150 ,"1,4-dichlorobenzene"                                     ,        ,          ,146  ,1427  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=150
151 ,2-isobutyl-4-methylthiazole                               ,        ,          ,155  ,1430  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=151
152 ,3-(or 2)-mercaptopentanal                                 ,        ,          ,118  ,1431  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=152
153 ,"3,5-dimethylpyridine"                                    ,        ,          ,107  ,1432  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=153
154 ,2-butyl-4-ethyl-5-methyloxazole                           ,        ,          ,167  ,1434  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=154
155 ,2-ethyl-5-methylpyridine                                  ,        ,          ,121  ,1437  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=155
156 ,"2,6-diethylpyrazine"                                     ,        ,          ,136  ,1437  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=156
157 ,2-vinylpyrazine                                           ,        ,          ,106  ,1438  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=157
158 ,"2-ethyl-4,5-dimethylthiazole"                            ,        ,          ,141  ,1445  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=158
159 ,"2-ethyl-3,6-dimethylpyrazine"                            ,        ,          ,136  ,1449  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=159
160 ,"2-isopropyl-4,5-dimethylthiazole"                        ,        ,          ,155  ,1450  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=160
161 ,"2,3-diethylpyrazine"                                     ,        ,          ,136  ,1454  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=161
162 ,"2,4-dimethyl-5-ethylthiazole"                            ,        ,          ,141  ,1455  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=162
163 ,1-heptanol                                                ,        ,          ,116  ,1460  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=163
164 ,"2,4-diethyl-5-methylthiazole"                            ,        ,          ,155  ,1461  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=164
165 ,"2,5-diethylpyrazine"                                     ,        ,          ,136  ,1463  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=165
166 ,"2-ethyl-3,5-dimethylpyrazine"                            ,        ,          ,136  ,1466  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=166
167 ,4-methyl-5-ethylthiazole                                  ,        ,          ,127  ,1466  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=167
168 ,"2-ethyl-5,6-dimethylpyrazine"                            ,        ,          ,136  ,1470  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=168
169 ,"1,2-dichlorobenzene"                                     ,        ,          ,146  ,1472  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=169
170 ,2-ethylthiazolidine                                       ,        ,          ,117  ,1478  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=170
171 ,2-propyl-3-methylpyrazine                                 ,        ,          ,136  ,1483  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=171
172 ,tetramethylpyrazine                                       ,        ,          ,136  ,1484  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=172
173 ,4-methylthio-2-butanone                                   ,        ,          ,118  ,1489  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=173
174 ,2-decanone                                                ,        ,          ,156  ,1489  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=174
175 ,"3-ethyl-2,6-dimethylpyridine"                            ,        ,          ,135  ,1490  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=175
188 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""",1     ,     ,                                                        
214 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
275 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
300 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
320 ,p-ethylphenol                                             ,phenol  ,          ,"122",      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,                                                        
321 ,"2-propyl-4,5-dimethylthiazole"                           ,thiazole,          ,"155",      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,                                                        
322 ,"(Z,Z)-2,4-nonadienal"                                    ,alkenal ,          ,"138",      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,                                                        
323 ,naphthalene                                               ,aromatic,91-20-3   ,"128",      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,                                                        
324 ,"(E,E)-2,4-nonadienal"                                    ,alkenal ,5910-87-2 ,"138",      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,                                                        
325 ,"(Z,Z)-2,4-decadienal"                                    ,alkenal ,65909-91-3,"152",      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,                                                        
326 ,2-pentadecanone                                           ,alkanone,          ,"226",      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,                                                        
327 ,3-octanol                                                 ,alkanol ,589-980   ,"130",      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,                                                        
333 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
337 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""",1     ,     ,                                                        
364 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
365 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""",1     ,     ,                                                        
368 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""\r""burnt""",1     ,1    ,                                                        
380 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""",1     ,     ,                                                        
396 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
406 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
415 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
431 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
481 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
492 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
495 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
498 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
502 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
504 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
556 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""",1     ,     ,                                                        
613 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""",1     ,     ,                                                        
783 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
900 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
908 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""",1     ,     ,                                                        
948 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""",1     ,     ,                                                        
958 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
980 ,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""",1     ,     ,                                                        
1025,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""",1     ,     ,                                                        
1061,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
1153,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
1185,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
1237,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
1285,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,                                                        
1656,                                                          ,        ,          ,     ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""",1     ,     ,                                                        